colocation,size,participation_index,min_pr_feature,table_instances,pr[amenity=atm],pr[amenity=bank],pr[amenity=cafe],pr[amenity=pharmacy],pr[amenity=restaurant],pr[railway=tram_stop],pr[shop=convenience],pr[shop=supermarket],pr[tourism=hotel],pr[amenity=school],pr[highway=bus_stop],pr[leisure=park]
amenity=restaurant | shop=convenience,2,0.7546367851622875,amenity=restaurant,6860,,,,,0.7546367851622875,,0.8535754824063564,,,,,
amenity=cafe | amenity=restaurant,2,0.7376352395672334,amenity=restaurant,15004,,,0.9099264705882353,,0.7376352395672334,,,,,,,
amenity=atm | amenity=pharmacy,2,0.6986506746626686,amenity=atm,870,0.6986506746626686,,,0.6996996996996997,,,,,,,,
amenity=atm | amenity=cafe,2,0.6985294117647058,amenity=cafe,3724,0.7451274362818591,,0.6985294117647058,,,,,,,,,
amenity=cafe | shop=convenience,2,0.659477866061294,shop=convenience,3163,,,0.7950367647058824,,,,0.659477866061294,,,,,
amenity=atm | amenity=restaurant,2,0.6414219474497682,amenity=restaurant,7327,0.8620689655172413,,,,0.6414219474497682,,,,,,,
amenity=cafe | tourism=hotel,2,0.6139705882352942,amenity=cafe,4312,,,0.6139705882352942,,,,,,0.7607260726072608,,,
amenity=atm | shop=supermarket,2,0.5837988826815642,shop=supermarket,673,0.631184407796102,,,,,,,0.5837988826815642,,,,
amenity=restaurant | tourism=hotel,2,0.5776661514683153,amenity=restaurant,8754,,,,,0.5776661514683153,,,,0.9125412541254125,,,
amenity=cafe | railway=tram_stop,2,0.5434439178515008,railway=tram_stop,1431,,,0.5505514705882353,,,0.5434439178515008,,,,,,
amenity=pharmacy | shop=supermarket,2,0.5363128491620112,shop=supermarket,302,,,,0.6006006006006006,,,,0.5363128491620112,,,,
amenity=atm | amenity=bank,2,0.5352323838080959,amenity=atm,1086,0.5352323838080959,0.921875,,,,,,,,,,
amenity=atm | shop=convenience,2,0.5130533484676504,shop=convenience,1521,0.6941529235382309,,,,,,0.5130533484676504,,,,,
amenity=atm | tourism=hotel,2,0.5097451274362819,amenity=atm,2133,0.5097451274362819,,,,,,,,0.693069306930693,,,
amenity=cafe | amenity=pharmacy,2,0.5027573529411765,amenity=cafe,1101,,,0.5027573529411765,0.6306306306306306,,,,,,,,
amenity=restaurant | railway=tram_stop,2,0.500772797527048,amenity=restaurant,3181,,,,,0.500772797527048,0.7282780410742496,,,,,,
railway=tram_stop | shop=convenience,2,0.49035187287173665,shop=convenience,1002,,,,,,0.5718799368088467,0.49035187287173665,,,,,
amenity=pharmacy | amenity=restaurant,2,0.48261205564142196,amenity=restaurant,2264,,,,0.8198198198198198,0.48261205564142196,,,,,,,
amenity=bank | amenity=cafe,2,0.46875,amenity=cafe,1367,,0.8359375,0.46875,,,,,,,,,
amenity=cafe | shop=supermarket,2,0.45496323529411764,amenity=cafe,805,,,0.45496323529411764,,,,,0.5418994413407822,,,,
amenity=restaurant | leisure=park,2,0.4412673879443586,amenity=restaurant,2007,,,,,0.4412673879443586,,,,,,,0.5736906211936662
amenity=restaurant | highway=bus_stop,2,0.44092318291422666,highway=bus_stop,4844,,,,,0.6286707882534776,,,,,,0.44092318291422666,
amenity=school | shop=convenience,2,0.4358683314415437,shop=convenience,610,,,,,,,0.4358683314415437,,,0.4800796812749004,,
shop=convenience | tourism=hotel,2,0.4301929625425653,shop=convenience,1734,,,,,,,0.4301929625425653,,0.7706270627062707,,,
amenity=pharmacy | shop=convenience,2,0.4267877412031782,shop=convenience,599,,,,0.6246246246246246,,,0.4267877412031782,,,,,
leisure=park | shop=convenience,2,0.4238733252131547,leisure=park,740,,,,,,,0.4585698070374574,,,,,0.4238733252131547
amenity=atm | railway=tram_stop,2,0.4218009478672986,railway=tram_stop,842,0.4992503748125937,,,,,0.4218009478672986,,,,,,
amenity=restaurant | shop=supermarket,2,0.42040185471406494,amenity=restaurant,1760,,,,,0.42040185471406494,,,0.7094972067039106,,,,
amenity=bank | amenity=restaurant,2,0.42001545595054096,amenity=restaurant,2873,,0.9375,,,0.42001545595054096,,,,,,,
amenity=restaurant | amenity=school,2,0.41731066460587324,amenity=restaurant,1695,,,,,0.41731066460587324,,,,,0.5677290836653387,,
amenity=bank | amenity=pharmacy,2,0.4144144144144144,amenity=pharmacy,394,,0.77734375,,0.4144144144144144,,,,,,,,
amenity=cafe | amenity=restaurant | shop=convenience,3,0.6140749148694665,shop=convenience,40911,,,0.7628676470588235,,0.6360123647604328,,0.6140749148694665,,,,,
amenity=atm | amenity=cafe | amenity=restaurant,3,0.5637557959814529,amenity=restaurant,60221,0.6956521739130435,,0.6709558823529411,,0.5637557959814529,,,,,,,
amenity=cafe | amenity=restaurant | tourism=hotel,3,0.517387944358578,amenity=restaurant,72150,,,0.6038602941176471,,0.517387944358578,,,,0.7458745874587459,,,
amenity=atm | amenity=restaurant | shop=convenience,3,0.48127128263337116,shop=convenience,18876,0.6551724137931034,,,,0.5452086553323029,,0.48127128263337116,,,,,
amenity=atm | amenity=cafe | tourism=hotel,3,0.45577211394302847,amenity=atm,18756,0.45577211394302847,,0.4852941176470588,,,,,,0.6188118811881188,,,
amenity=atm | amenity=restaurant | tourism=hotel,3,0.45479134466769705,amenity=restaurant,34794,0.4947526236881559,,,,0.45479134466769705,,,,0.6831683168316832,,,
amenity=restaurant | railway=tram_stop | shop=convenience,3,0.4412673879443586,amenity=restaurant,7390,,,,,0.4412673879443586,0.5308056872037915,0.47105561861521,,,,,
amenity=atm | amenity=bank | amenity=cafe,3,0.4338235294117647,amenity=cafe,6690,0.4617691154422789,0.76953125,0.4338235294117647,,,,,,,,,
amenity=cafe | amenity=restaurant | railway=tram_stop,3,0.4331530139103555,amenity=restaurant,14967,,,0.5266544117647058,,0.4331530139103555,0.4597156398104265,,,,,,
amenity=cafe | amenity=pharmacy | amenity=restaurant,3,0.42194744976816073,amenity=restaurant,15541,,,0.484375,0.5885885885885885,0.42194744976816073,,,,,,,
