antecedent,consequent,rule_size,prevalence,conditional_probability
amenity=bank,amenity=atm,2,0.5553539019963702,0.9269005847953217
amenity=cafe,amenity=restaurant,2,0.6201899050474763,0.8457269700332963
amenity=restaurant,highway=bus_stop,2,0.4563741513703797,0.8435782108945528
amenity=cafe,shop=convenience,2,0.44778761061946903,0.8368479467258602
amenity=pharmacy,shop=convenience,2,0.5079646017699115,0.8330494037478705
shop=convenience,highway=bus_stop,2,0.5272818707568518,0.8312684365781711
amenity=atm,shop=convenience,2,0.5492625368731563,0.8121597096188747
amenity=restaurant,shop=convenience,2,0.6696165191740413,0.8060969515242379
amenity=atm | amenity=cafe,amenity=restaurant,3,0.4572713643178411,0.916796875
amenity=atm | amenity=restaurant,shop=convenience,3,0.4153392330383481,0.8661596958174905
amenity=atm | shop=convenience,amenity=restaurant,3,0.4153392330383481,0.8277846280312372
amenity=atm | amenity=restaurant,amenity=cafe,3,0.4572713643178411,0.8174904942965779
